patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
22,9,0,1,0,NA,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
23,4,1,1,1,5,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
24,4,0,1,0,17,0,Week22_Day7 (18.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day7_18.6.25.csv,2025-06-18
0,5,8,1,8,8,210,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
1,4,6,1,6,7,229,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
2,4,4,1,4,12,263,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
3,4,12,1,12,18,510,Week22_Day9 (20.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
4,8,7,1,7,11,298,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
5,8,1,1,1,19,0,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
6,8,2,1,2,29,119,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
7,4,7,1,7,8,250,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
8,4,0,1,0,NA,0,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
9,3,0,1,0,NA,0,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
10,4,7,1,7,30,220,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
11,4,5,1,5,14,187,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
12,8,2,1,2,35,74,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
13,8,4,1,4,11,140,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
14,8,2,1,2,27,17,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
15,8,2,1,2,39,89,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
16,8,4,1,4,72,221,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
17,4,5,1,5,7,259,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
18,4,6,1,6,10,229,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
19,4,4,1,4,9,236,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
20,8,3,1,3,15,139,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
21,8,7,1,7,18,211,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
22,8,5,1,5,14,120,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
23,8,2,1,2,254,7,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
24,4,4,1,4,28,906,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
25,8,6,1,6,9,105,Week22_Day9 (20.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day9_20.6.25.csv,2025-06-20
0,4,9,1,9,11,304,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
1,4,15,1,15,5,467,Week23_Day1 (23.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
2,4,5,1,5,4,212,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
3,8,5,1,5,27,226,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
4,8,1,1,1,19,0,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
5,8,12,1,12,41,416,Week23_Day1 (23.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
6,4,15,1,15,5,778,Week23_Day1 (23.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
7,8,4,1,4,31,363,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
8,8,3,1,3,29,196,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
9,4,8,1,8,4,229,Week23_Day1 (23.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
10,4,11,1,11,5,1096,Week23_Day1 (23.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day1_23.6.25.csv,2025-06-23
0,4,2,1,2,24,13,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
1,4,1,1,1,16,0,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
2,4,3,1,3,6,59,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
3,4,4,1,4,22,114,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
4,4,10,1,10,24,343,Week23_Day2 (24.6.25),Mouse1,large,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
5,4,2,1,2,10,68,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
6,4,2,1,2,26,40,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
7,8,3,1,3,20,105,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
8,8,6,1,6,33,205,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
9,8,7,1,7,75,336,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
10,4,6,1,6,5,340,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
11,4,4,1,4,65,136,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
12,4,1,1,1,25,0,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
13,8,1,1,1,135,0,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
14,8,1,1,1,83,0,Week23_Day2 (24.6.25),Mouse1,small,corrected_patch_summary_Mouse1_Day2_24.6.25.csv,2025-06-24
