patch_id,travel_time,RM_count,NP_count,RM_per_NP,reaction_time,harvest_time,day,mouse_id,patch_size,source_file,parsed_date
6,4,1,1,1,10,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
7,4,10,1,10,5,350,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
8,4,2,1,2,5,6,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
9,4,2,1,2,31,57,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
10,8,11,1,11,38,348,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
11,8,11,1,11,9,368,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
12,8,1,1,1,34,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
13,4,2,1,2,4,11,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
14,4,13,1,13,4,411,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
15,4,3,1,3,4,136,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
16,4,9,1,9,4,96,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
17,4,4,1,4,5,54,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
18,8,0,1,0,NA,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
19,8,3,1,3,21,29,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
20,8,2,1,2,8,6,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
21,8,0,1,0,NA,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
22,9,0,1,0,NA,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
23,7,3,1,3,13,136,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
24,8,19,1,19,11,1300,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
25,4,11,1,11,81,1169,M2_Week22_Day8 (19.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
26,4,0,1,0,NA,0,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
27,4,4,1,4,84,492,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
28,8,7,1,7,11,710,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
29,4,2,1,2,20,15,M2_Week22_Day8 (19.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day8_19.6.25.csv,2025-06-19
0,4,11,1,11,14,371,M2_Week22_Day9 (20.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
1,4,1,1,1,11,0,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
2,4,9,1,9,6,509,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
3,8,5,1,5,16,123,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
4,8,0,1,0,NA,0,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
5,8,9,1,9,9,171,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
6,7,12,1,12,9,214,M2_Week22_Day9 (20.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
7,7,11,1,11,9,92,M2_Week22_Day9 (20.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
8,8,8,1,8,8,1195,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
9,7,4,1,4,9,177,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
10,8,8,1,8,9,634,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
11,4,3,1,3,4,29,M2_Week22_Day9 (20.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day9_20.6.25.csv,2025-06-20
0,4,1,1,1,6,0,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
1,4,14,1,14,9,578,M2_Week23_Day1 (23.6.25),Mouse2,large,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
2,4,6,1,6,5,481,M2_Week23_Day1 (23.6.25),Mouse2,small,corrected_patch_summary_Mouse2_Day10_23.6.25.csv,2025-06-23
